DATA;TEMPERATURA MAXIMA;PRECIPITACAO
27/01/2020;27.44;0
28/01/2020;28.62;0
29/01/2020;23.63;1
30/01/2020;22.4;1
31/01/2020;26.26;1
01/02/2020;27.57;0
02/02/2020;24.03;0
03/02/2020;25.91;1
04/02/2020;24.15;0
05/02/2020;25.63;0
06/02/2020;27.84;0
07/02/2020;26.23;1
08/02/2020;26.93;0
09/02/2020;26.58;0
10/02/2020;21.77;1
11/02/2020;23;0
12/02/2020;24.14;0
13/02/2020;25.73;1
14/02/2020;26.04;0
15/02/2020;25.92;1
16/02/2020;27.59;1
17/02/2020;29.99;1
18/02/2020;28.78;0
19/02/2020;27.57;1
20/02/2020;28.29;0
21/02/2020;24.93;0
22/02/2020;20.88;0
23/02/2020;24.21;0
24/02/2020;25.49;0
25/02/2020;22.5;1
26/02/2020;21.03;1
27/02/2020;22.39;0
28/02/2020;24.65;0
29/02/2020;24.54;0
01/03/2020;23.25;0
02/03/2020;22.11;0
03/03/2020;23.51;0
04/03/2020;25.02;1
05/03/2020;25.05;0
06/03/2020;26.43;0
07/03/2020;25.36;0
08/03/2020;26.84;1
09/03/2020;27.06;0
10/03/2020;29.17;0
11/03/2020;29.2;0
12/03/2020;30.58;0
13/03/2020;31.36;0
14/03/2020;31;1
15/03/2020;31.5;0
16/03/2020;27.25;0
17/03/2020;29.73;0
18/03/2020;22.8;1
19/03/2020;26.52;1
20/03/2020;24.62;0
21/03/2020;25.54;0
22/03/2020;27.1;0
23/03/2020;26.12;0
24/03/2020;25.59;0
25/03/2020;25.34;0
26/03/2020;26.51;0
27/03/2020;26.37;0
28/03/2020;26.51;1
29/03/2020;25.56;1
30/03/2020;27.33;0
31/03/2020;27.89;0
01/04/2020;28.81;0
02/04/2020;23.78;1
03/04/2020;19.36;1
04/04/2020;22.9;0
05/04/2020;26.95;0
06/04/2020;22.53;0
07/04/2020;19.58;1
08/04/2020;19.94;0
09/04/2020;18.91;0
10/04/2020;18.95;0
11/04/2020;20.94;0
12/04/2020;23.28;0
13/04/2020;24.56;0
14/04/2020;19.73;1
15/04/2020;17.57;0
16/04/2020;19.39;0
17/04/2020;20.46;0
18/04/2020;20.87;0
19/04/2020;21.5;0
20/04/2020;22.57;0
21/04/2020;22.81;0
22/04/2020;23.27;0
23/04/2020;23.71;0
24/04/2020;24.58;0
25/04/2020;26.99;0
26/04/2020;25.77;0
27/04/2020;22.86;1
28/04/2020;24.46;0
29/04/2020;24.68;0
30/04/2020;25.49;0
01/05/2020;23.22;0
02/05/2020;20.89;1
03/05/2020;20.6;0
04/05/2020;23.23;0
05/05/2020;19.44;1
06/05/2020;13.89;1
07/05/2020;14.79;0
08/05/2020;18.55;0
09/05/2020;20.38;0
10/05/2020;23.04;0
11/05/2020;25.2;0
12/05/2020;20.5;1
13/05/2020;18.15;1
14/05/2020;16.56;1
15/05/2020;16.8;0
16/05/2020;20.06;0
17/05/2020;22.71;0
18/05/2020;23.88;0
19/05/2020;22.23;0
20/05/2020;24.31;0
21/05/2020;23.43;0
22/05/2020;17.72;1
23/05/2020;13.9;1
24/05/2020;13.54;0
25/05/2020;14.99;1
26/05/2020;15.31;0
27/05/2020;18.51;0
28/05/2020;22.45;0
29/05/2020;21;0
30/05/2020;21.75;0
31/05/2020;20.75;0
01/06/2020;15.13;1
02/06/2020;15.77;1
03/06/2020;16.31;0
04/06/2020;15.47;1
05/06/2020;16.87;1
06/06/2020;15.38;1
07/06/2020;16.94;0
08/06/2020;18.89;0
09/06/2020;18.13;1
10/06/2020;20.33;1
11/06/2020;23;1
12/06/2020;24.45;1
13/06/2020;20.83;0
14/06/2020;14.66;1
15/06/2020;16.37;0
16/06/2020;19.11;0
17/06/2020;20.49;0
18/06/2020;20.21;1
19/06/2020;22.67;1
20/06/2020;23.71;0
21/06/2020;24.6;0
22/06/2020;23.85;0
23/06/2020;23.67;0
24/06/2020;23.49;0
25/06/2020;17.47;1
26/06/2020;11.43;1
27/06/2020;11.61;1
28/06/2020;14.92;0
29/06/2020;12.8;0
30/06/2020;17.36;1
01/07/2020;8.66;1
02/07/2020;9.77;0
03/07/2020;12.62;0
04/07/2020;17.41;0
05/07/2020;20.36;0
06/07/2020;17.7;1
07/07/2020;18.18;1
08/07/2020;12.59;1
09/07/2020;12.42;1
10/07/2020;18;0
11/07/2020;19.58;1
12/07/2020;20.49;1
13/07/2020;20.04;0
14/07/2020;14.22;1
15/07/2020;18.29;0
16/07/2020;16.71;0
17/07/2020;21.53;1
18/07/2020;23.93;0
19/07/2020;23.32;0
20/07/2020;21.99;0
21/07/2020;22.91;0
22/07/2020;23.09;0
23/07/2020;23.52;0
24/07/2020;23.57;0
25/07/2020;13.45;1
26/07/2020;15.81;1
27/07/2020;21.09;1
28/07/2020;16.38;1
29/07/2020;9.73;1
30/07/2020;14.74;0
31/07/2020;18.05;0
01/08/2020;21.38;0
02/08/2020;22.44;0
03/08/2020;21.53;0
04/08/2020;21.91;0
05/08/2020;21.8;0
06/08/2020;23.08;0
07/08/2020;22.15;0
08/08/2020;22.55;0
09/08/2020;23;0
10/08/2020;24.37;0
11/08/2020;22.05;0
12/08/2020;14.89;1
13/08/2020;17.44;1
14/08/2020;20.54;1
15/08/2020;15.95;1
16/08/2020;17.83;1
17/08/2020;19.46;1
18/08/2020;16.05;1
19/08/2020;15.65;1
20/08/2020;8.71;1
21/08/2020;8.22;1
22/08/2020;15.03;0
23/08/2020;17.79;0
24/08/2020;19.8;0
25/08/2020;22.81;0
26/08/2020;24.32;0
27/08/2020;26.65;0
28/08/2020;26.71;0
29/08/2020;28.39;0
30/08/2020;26.12;0
