DATA;ANO;MES;DIA;DIA-SEMANA;HORA; QTDE CURSOS PRESENCIAIS NA ULTIMA HORA;FERIADO/RECESSO;FERIAS;COVID
31/08/2018 21:00;2018;8;31;4;21;10;0;0;0
31/08/2018 22:00;2018;8;31;4;22;10;0;0;0
31/08/2018 23:00;2018;8;31;4;23;10;0;0;0
01/09/2018 00:00;2018;9;1;5;0;0;0;0;0
01/09/2018 01:00;2018;9;1;5;1;0;0;0;0
01/09/2018 02:00;2018;9;1;5;2;0;0;0;0
01/09/2018 03:00;2018;9;1;5;3;0;0;0;0
01/09/2018 04:00;2018;9;1;5;4;0;0;0;0
01/09/2018 05:00;2018;9;1;5;5;0;0;0;0
01/09/2018 06:00;2018;9;1;5;6;0;0;0;0
01/09/2018 07:00;2018;9;1;5;7;0;0;0;0
01/09/2018 08:00;2018;9;1;5;8;0;0;0;0
01/09/2018 09:00;2018;9;1;5;9;0;0;0;0
01/09/2018 10:00;2018;9;1;5;10;0;0;0;0
01/09/2018 11:00;2018;9;1;5;11;0;0;0;0
01/09/2018 12:00;2018;9;1;5;12;0;0;0;0
01/09/2018 13:00;2018;9;1;5;13;0;0;0;0
01/09/2018 14:00;2018;9;1;5;14;0;0;0;0
01/09/2018 15:00;2018;9;1;5;15;0;0;0;0
01/09/2018 16:00;2018;9;1;5;16;0;0;0;0
01/09/2018 17:00;2018;9;1;5;17;0;0;0;0
01/09/2018 18:00;2018;9;1;5;18;0;0;0;0
01/09/2018 19:00;2018;9;1;5;19;0;0;0;0
01/09/2018 20:00;2018;9;1;5;20;0;0;0;0
01/09/2018 21:00;2018;9;1;5;21;0;0;0;0
01/09/2018 22:00;2018;9;1;5;22;0;0;0;0
01/09/2018 23:00;2018;9;1;5;23;0;0;0;0
02/09/2018 00:00;2018;9;2;6;0;0;0;0;0
02/09/2018 01:00;2018;9;2;6;1;0;0;0;0
02/09/2018 02:00;2018;9;2;6;2;0;0;0;0
02/09/2018 03:00;2018;9;2;6;3;0;0;0;0
02/09/2018 04:00;2018;9;2;6;4;0;0;0;0
02/09/2018 05:00;2018;9;2;6;5;0;0;0;0
02/09/2018 06:00;2018;9;2;6;6;0;0;0;0
02/09/2018 07:00;2018;9;2;6;7;0;0;0;0
02/09/2018 08:00;2018;9;2;6;8;0;0;0;0
02/09/2018 09:00;2018;9;2;6;9;0;0;0;0
02/09/2018 10:00;2018;9;2;6;10;0;0;0;0
02/09/2018 11:00;2018;9;2;6;11;0;0;0;0
02/09/2018 12:00;2018;9;2;6;12;0;0;0;0
02/09/2018 13:00;2018;9;2;6;13;0;0;0;0
02/09/2018 14:00;2018;9;2;6;14;0;0;0;0
02/09/2018 15:00;2018;9;2;6;15;0;0;0;0
02/09/2018 16:00;2018;9;2;6;16;0;0;0;0
02/09/2018 17:00;2018;9;2;6;17;0;0;0;0
02/09/2018 18:00;2018;9;2;6;18;0;0;0;0
02/09/2018 19:00;2018;9;2;6;19;0;0;0;0
02/09/2018 20:00;2018;9;2;6;20;0;0;0;0
02/09/2018 21:00;2018;9;2;6;21;0;0;0;0
02/09/2018 22:00;2018;9;2;6;22;0;0;0;0
02/09/2018 23:00;2018;9;2;6;23;0;0;0;0
03/09/2018 00:00;2018;9;3;0;0;0;0;0;0
03/09/2018 01:00;2018;9;3;0;1;0;0;0;0
03/09/2018 02:00;2018;9;3;0;2;0;0;0;0
03/09/2018 03:00;2018;9;3;0;3;0;0;0;0
03/09/2018 04:00;2018;9;3;0;4;0;0;0;0
03/09/2018 05:00;2018;9;3;0;5;0;0;0;0
03/09/2018 06:00;2018;9;3;0;6;0;0;0;0
03/09/2018 07:00;2018;9;3;0;7;0;0;0;0
03/09/2018 08:00;2018;9;3;0;8;0;0;0;0
03/09/2018 09:00;2018;9;3;0;9;5;0;0;0
03/09/2018 10:00;2018;9;3;0;10;5;0;0;0
03/09/2018 11:00;2018;9;3;0;11;5;0;0;0
03/09/2018 12:00;2018;9;3;0;12;5;0;0;0
03/09/2018 13:00;2018;9;3;0;13;0;0;0;0
03/09/2018 14:00;2018;9;3;0;14;5;0;0;0
03/09/2018 15:00;2018;9;3;0;15;5;0;0;0
03/09/2018 16:00;2018;9;3;0;16;5;0;0;0
03/09/2018 17:00;2018;9;3;0;17;5;0;0;0
03/09/2018 18:00;2018;9;3;0;18;0;0;0;0
03/09/2018 19:00;2018;9;3;0;19;0;0;0;0
03/09/2018 20:00;2018;9;3;0;20;10;0;0;0
03/09/2018 21:00;2018;9;3;0;21;10;0;0;0
03/09/2018 22:00;2018;9;3;0;22;10;0;0;0
03/09/2018 23:00;2018;9;3;0;23;10;0;0;0
04/09/2018 00:00;2018;9;4;1;0;0;0;0;0
04/09/2018 01:00;2018;9;4;1;1;0;0;0;0
04/09/2018 02:00;2018;9;4;1;2;0;0;0;0
04/09/2018 03:00;2018;9;4;1;3;0;0;0;0
04/09/2018 04:00;2018;9;4;1;4;0;0;0;0
04/09/2018 05:00;2018;9;4;1;5;0;0;0;0
04/09/2018 06:00;2018;9;4;1;6;0;0;0;0
04/09/2018 07:00;2018;9;4;1;7;0;0;0;0
04/09/2018 08:00;2018;9;4;1;8;0;0;0;0
04/09/2018 09:00;2018;9;4;1;9;5;0;0;0
04/09/2018 10:00;2018;9;4;1;10;5;0;0;0
04/09/2018 11:00;2018;9;4;1;11;5;0;0;0
04/09/2018 12:00;2018;9;4;1;12;5;0;0;0
04/09/2018 13:00;2018;9;4;1;13;0;0;0;0
04/09/2018 14:00;2018;9;4;1;14;5;0;0;0
04/09/2018 15:00;2018;9;4;1;15;5;0;0;0
04/09/2018 16:00;2018;9;4;1;16;5;0;0;0
04/09/2018 17:00;2018;9;4;1;17;5;0;0;0
04/09/2018 18:00;2018;9;4;1;18;0;0;0;0
04/09/2018 19:00;2018;9;4;1;19;0;0;0;0
04/09/2018 20:00;2018;9;4;1;20;10;0;0;0
04/09/2018 21:00;2018;9;4;1;21;10;0;0;0
04/09/2018 22:00;2018;9;4;1;22;10;0;0;0
04/09/2018 23:00;2018;9;4;1;23;10;0;0;0
05/09/2018 00:00;2018;9;5;2;0;0;0;0;0
05/09/2018 01:00;2018;9;5;2;1;0;0;0;0
05/09/2018 02:00;2018;9;5;2;2;0;0;0;0
05/09/2018 03:00;2018;9;5;2;3;0;0;0;0
05/09/2018 04:00;2018;9;5;2;4;0;0;0;0
05/09/2018 05:00;2018;9;5;2;5;0;0;0;0
05/09/2018 06:00;2018;9;5;2;6;0;0;0;0
05/09/2018 07:00;2018;9;5;2;7;0;0;0;0
05/09/2018 08:00;2018;9;5;2;8;0;0;0;0
05/09/2018 09:00;2018;9;5;2;9;5;0;0;0
05/09/2018 10:00;2018;9;5;2;10;5;0;0;0
05/09/2018 11:00;2018;9;5;2;11;5;0;0;0
05/09/2018 12:00;2018;9;5;2;12;5;0;0;0
05/09/2018 13:00;2018;9;5;2;13;0;0;0;0
05/09/2018 14:00;2018;9;5;2;14;5;0;0;0
05/09/2018 15:00;2018;9;5;2;15;5;0;0;0
05/09/2018 16:00;2018;9;5;2;16;5;0;0;0
05/09/2018 17:00;2018;9;5;2;17;5;0;0;0
05/09/2018 18:00;2018;9;5;2;18;0;0;0;0
05/09/2018 19:00;2018;9;5;2;19;0;0;0;0
05/09/2018 20:00;2018;9;5;2;20;10;0;0;0
05/09/2018 21:00;2018;9;5;2;21;10;0;0;0
05/09/2018 22:00;2018;9;5;2;22;10;0;0;0
05/09/2018 23:00;2018;9;5;2;23;10;0;0;0
06/09/2018 00:00;2018;9;6;3;0;0;0;0;0
06/09/2018 01:00;2018;9;6;3;1;0;0;0;0
06/09/2018 02:00;2018;9;6;3;2;0;0;0;0
06/09/2018 03:00;2018;9;6;3;3;0;0;0;0
06/09/2018 04:00;2018;9;6;3;4;0;0;0;0
06/09/2018 05:00;2018;9;6;3;5;0;0;0;0
06/09/2018 06:00;2018;9;6;3;6;0;0;0;0
06/09/2018 07:00;2018;9;6;3;7;0;0;0;0
06/09/2018 08:00;2018;9;6;3;8;0;0;0;0
06/09/2018 09:00;2018;9;6;3;9;5;0;0;0
06/09/2018 10:00;2018;9;6;3;10;5;0;0;0
06/09/2018 11:00;2018;9;6;3;11;5;0;0;0
06/09/2018 12:00;2018;9;6;3;12;5;0;0;0
06/09/2018 13:00;2018;9;6;3;13;0;0;0;0
06/09/2018 14:00;2018;9;6;3;14;5;0;0;0
06/09/2018 15:00;2018;9;6;3;15;5;0;0;0
06/09/2018 16:00;2018;9;6;3;16;5;0;0;0
06/09/2018 17:00;2018;9;6;3;17;5;0;0;0
06/09/2018 18:00;2018;9;6;3;18;0;0;0;0
06/09/2018 19:00;2018;9;6;3;19;0;0;0;0
06/09/2018 20:00;2018;9;6;3;20;10;0;0;0
06/09/2018 21:00;2018;9;6;3;21;10;0;0;0
06/09/2018 22:00;2018;9;6;3;22;10;0;0;0
06/09/2018 23:00;2018;9;6;3;23;10;0;0;0
07/09/2018 00:00;2018;9;7;4;0;0;1;0;0
07/09/2018 01:00;2018;9;7;4;1;0;1;0;0
07/09/2018 02:00;2018;9;7;4;2;0;1;0;0
07/09/2018 03:00;2018;9;7;4;3;0;1;0;0
07/09/2018 04:00;2018;9;7;4;4;0;1;0;0
07/09/2018 05:00;2018;9;7;4;5;0;1;0;0
07/09/2018 06:00;2018;9;7;4;6;0;1;0;0
07/09/2018 07:00;2018;9;7;4;7;0;1;0;0
07/09/2018 08:00;2018;9;7;4;8;0;1;0;0
07/09/2018 09:00;2018;9;7;4;9;0;1;0;0
07/09/2018 10:00;2018;9;7;4;10;0;1;0;0
07/09/2018 11:00;2018;9;7;4;11;0;1;0;0
07/09/2018 12:00;2018;9;7;4;12;0;1;0;0
07/09/2018 13:00;2018;9;7;4;13;0;1;0;0
07/09/2018 14:00;2018;9;7;4;14;0;1;0;0
07/09/2018 15:00;2018;9;7;4;15;0;1;0;0
07/09/2018 16:00;2018;9;7;4;16;0;1;0;0
07/09/2018 17:00;2018;9;7;4;17;0;1;0;0
07/09/2018 18:00;2018;9;7;4;18;0;1;0;0
07/09/2018 19:00;2018;9;7;4;19;0;1;0;0
07/09/2018 20:00;2018;9;7;4;20;0;1;0;0
07/09/2018 21:00;2018;9;7;4;21;0;1;0;0
07/09/2018 22:00;2018;9;7;4;22;0;1;0;0
07/09/2018 23:00;2018;9;7;4;23;0;1;0;0
08/09/2018 00:00;2018;9;8;5;0;0;0;0;0
08/09/2018 01:00;2018;9;8;5;1;0;0;0;0
08/09/2018 02:00;2018;9;8;5;2;0;0;0;0
08/09/2018 03:00;2018;9;8;5;3;0;0;0;0
08/09/2018 04:00;2018;9;8;5;4;0;0;0;0
08/09/2018 05:00;2018;9;8;5;5;0;0;0;0
08/09/2018 06:00;2018;9;8;5;6;0;0;0;0
08/09/2018 07:00;2018;9;8;5;7;0;0;0;0
08/09/2018 08:00;2018;9;8;5;8;0;0;0;0
08/09/2018 09:00;2018;9;8;5;9;0;0;0;0
08/09/2018 10:00;2018;9;8;5;10;0;0;0;0
08/09/2018 11:00;2018;9;8;5;11;0;0;0;0
08/09/2018 12:00;2018;9;8;5;12;0;0;0;0
08/09/2018 13:00;2018;9;8;5;13;0;0;0;0
08/09/2018 14:00;2018;9;8;5;14;0;0;0;0
08/09/2018 15:00;2018;9;8;5;15;0;0;0;0
08/09/2018 16:00;2018;9;8;5;16;0;0;0;0
08/09/2018 17:00;2018;9;8;5;17;0;0;0;0
08/09/2018 18:00;2018;9;8;5;18;0;0;0;0
08/09/2018 19:00;2018;9;8;5;19;0;0;0;0
08/09/2018 20:00;2018;9;8;5;20;0;0;0;0
08/09/2018 21:00;2018;9;8;5;21;0;0;0;0
08/09/2018 22:00;2018;9;8;5;22;0;0;0;0
08/09/2018 23:00;2018;9;8;5;23;0;0;0;0
09/09/2018 00:00;2018;9;9;6;0;0;0;0;0
09/09/2018 01:00;2018;9;9;6;1;0;0;0;0
09/09/2018 02:00;2018;9;9;6;2;0;0;0;0
09/09/2018 03:00;2018;9;9;6;3;0;0;0;0
09/09/2018 04:00;2018;9;9;6;4;0;0;0;0
09/09/2018 05:00;2018;9;9;6;5;0;0;0;0
09/09/2018 06:00;2018;9;9;6;6;0;0;0;0
09/09/2018 07:00;2018;9;9;6;7;0;0;0;0
09/09/2018 08:00;2018;9;9;6;8;0;0;0;0
09/09/2018 09:00;2018;9;9;6;9;0;0;0;0
09/09/2018 10:00;2018;9;9;6;10;0;0;0;0
09/09/2018 11:00;2018;9;9;6;11;0;0;0;0
09/09/2018 12:00;2018;9;9;6;12;0;0;0;0
09/09/2018 13:00;2018;9;9;6;13;0;0;0;0
09/09/2018 14:00;2018;9;9;6;14;0;0;0;0
09/09/2018 15:00;2018;9;9;6;15;0;0;0;0
09/09/2018 16:00;2018;9;9;6;16;0;0;0;0
09/09/2018 17:00;2018;9;9;6;17;0;0;0;0
09/09/2018 18:00;2018;9;9;6;18;0;0;0;0
09/09/2018 19:00;2018;9;9;6;19;0;0;0;0
09/09/2018 20:00;2018;9;9;6;20;0;0;0;0
09/09/2018 21:00;2018;9;9;6;21;0;0;0;0
09/09/2018 22:00;2018;9;9;6;22;0;0;0;0
09/09/2018 23:00;2018;9;9;6;23;0;0;0;0
10/09/2018 00:00;2018;9;10;0;0;0;0;0;0
10/09/2018 01:00;2018;9;10;0;1;0;0;0;0
10/09/2018 02:00;2018;9;10;0;2;0;0;0;0
10/09/2018 03:00;2018;9;10;0;3;0;0;0;0
10/09/2018 04:00;2018;9;10;0;4;0;0;0;0
10/09/2018 05:00;2018;9;10;0;5;0;0;0;0
10/09/2018 06:00;2018;9;10;0;6;0;0;0;0
10/09/2018 07:00;2018;9;10;0;7;0;0;0;0
10/09/2018 08:00;2018;9;10;0;8;0;0;0;0
